time_week,device_id,category,chain,visits
2014-11-16,vz4eT+mfrMH7LLuLD8iQ3cBexCM=,Grocery,Kroger,1
2014-11-16,axmW1+C51fQrhwmh3FkpWSLmgNY=,Grocery,Kroger,6
2014-11-16,7wC4Di5mjd1+Aj14d9q0x7WfoS0=,Grocery,Kroger,1
2014-11-16,ssH2wYbTNoY7UTwI83YdV3OtzEM=,Grocery,Kroger,2
2014-11-16,FZPV0Q294EpEKBjkOQtxCUrzM44=,Grocery,Kroger,4
2014-11-16,mTzFspC3SppU67vcMLZY9Z6zzq8=,Grocery,Kroger,2
2014-11-16,x7vpnA2o7Y25OC87X9enqLbdq7w=,Grocery,Kroger,1
2014-11-16,cx7pHdWSV8jzM6a7txH5tp99Guw=,Grocery,Kroger,1
2014-11-16,+6UbDTZe8wWn5e55YqzM0WFtN+s=,Grocery,Kroger,1
2014-11-16,THbWml2Nd944xa2gIk5oCbFxlQA=,Grocery,Kroger,1
2014-11-16,Q7sJ0RZZrKGUuyUHyFcXvsnWF74=,Grocery,Kroger,1
2014-11-16,cVUbcHlp23KpkgnyDW2nn+cqvbY=,Grocery,Kroger,1
2014-11-16,tuwivvE705mngT7EalqxzwgekmI=,Grocery,Kroger,2
2014-11-16,rc3QrY5ipBCTvnJFDjvf5eJBfGA=,Grocery,Kroger,8
2014-11-16,tdceWwHeQBkJ2a1GtffqgI66WCM=,Grocery,Kroger,2
2014-11-16,kZCswCfDfDeEjhvG8WlRMAO/7/4=,Grocery,Kroger,2
2014-11-16,eSQRcTMPzLhi1WbMohR3A9eQoko=,Grocery,Kroger,1
2014-11-16,f3Gq1VujNlYPd4R6ic5Ldz8EV8s=,Grocery,Kroger,1
2014-11-16,FSWdFChTDa3Z9XViEsAqTmcQkpE=,Grocery,Kroger,1
2014-11-16,mTyxbaJ7oHr29Dagx4wEYV5INKE=,Grocery,Kroger,1
2014-11-16,YUu026bMPkpVQ9/BfLbSuxhsbtk=,Grocery,Kroger,3
2014-11-16,l6h7vsB/hnIwvrDx9C1tFeVcAXg=,Grocery,Kroger,2
2014-11-16,hrFyWk3LMj2EjE6T+pNdjEN13n4=,Grocery,Kroger,1
2014-11-16,Tq0+AXCCmD3AbXn1pCChGgoGSzE=,Grocery,Kroger,5
2014-11-16,Kas9ngR3b8a5LjJU+g7zAYMVKSU=,Grocery,Kroger,1
2014-11-16,gf7X+ShJ605RXs8c35TFvfrt5TQ=,Grocery,Kroger,1
2014-11-16,rhBmaAi9JDtcUqIDEjedZqPm2HU=,Grocery,Kroger,1
2014-11-16,ETiwEwnpt1gbF1p5T8PPZy/TQls=,Grocery,Kroger,1
2014-11-16,FmB1dHSha6qEeeqSuhurkoLXeIQ=,Grocery,Kroger,2
2014-11-16,B3QPSRXJUNxRDRYX29TI9QWerPU=,Grocery,Kroger,1
2014-11-16,wEN7atYd5XopzKObykaSUXbfzvE=,Grocery,Kroger,2
2014-11-16,MNdF93hvE+lLbVQvepHqTJrNH9E=,Grocery,Kroger,1
2014-11-16,CrzXpn6soi2IwHAyHBhSbjW76Lg=,Grocery,Kroger,1
2014-11-16,6PcsG2oakQBxZQu/Svuc6KhHrVE=,Grocery,Kroger,1
2014-11-16,aC23VSHQFFo273szayhUIzqRIhA=,Grocery,Kroger,2
2014-11-16,ZGeE50XUQpo1KDOiA5TFLLGBP3E=,Grocery,Kroger,1
2014-11-16,NfeEGj7yN+ArNiopD9kAP7NCEik=,Grocery,Kroger,1
2014-11-16,/ZJvI/xdZ85iD4kX0EG4FCx6wqc=,Grocery,Kroger,2
2014-11-16,z4mdJIbjxuruqNsmYp5PjOzDKCk=,Grocery,Kroger,6
2014-11-16,mzvldgX1F3qmjkVnvVkFGwY7SEY=,Grocery,Kroger,1
2014-11-16,HIf+j2oqEAlAAPAAR1i+9QRWJAA=,Grocery,Kroger,1
2014-11-16,Ro4QBX+zAsi+5KOJSGjMTryKeOo=,Grocery,Kroger,1
2014-11-16,7xE8wtDpf8YWIPdQWV0ktdoknrs=,Grocery,Kroger,1
2014-11-16,XtpBBAwu3PTqNmRWhI5Ur50v2tU=,Grocery,Kroger,1
2014-11-16,CKPtPpikcCT2FZnX3nyjaZZbPNs=,Grocery,Kroger,1
2014-11-16,W8jaISi+uOsomefRvDWdRmIddIU=,Grocery,Kroger,1
2014-11-16,1/si/OCg33NW7juGo+wDxN/yjpk=,Grocery,Kroger,1
2014-11-16,cVMxLzyvFwQcZfE6ctNHSl5UTvE=,Grocery,Kroger,2
2014-11-16,LcNX9elqUl5HXgq4Q21eqZUyJ7c=,Grocery,Kroger,1
2014-11-16,dFtBQQEvUxqO+IW+RyAdz/y252M=,Grocery,Kroger,1
2014-11-16,G5k9AzOds8Y3dQL95EAWeWN3b6M=,Grocery,Kroger,1
2014-11-16,LgJyzRFp/sqnKsIG68vn7URvKUQ=,Grocery,Kroger,1
2014-11-16,XiZNh1mxn+QKt7eHauHQPoPcS+Q=,Grocery,Kroger,2
2014-11-16,SCgd1i/O4yKCjJAAtNtp/9vOlKU=,Grocery,Kroger,1
2014-11-16,d1di0VR48YMmd3eXCZqulRRj6CE=,Grocery,Kroger,1
2014-11-16,Z0Qb/WwSeNZgk1fnDoMrWd59nFY=,Grocery,Kroger,1
2014-11-16,dZqTs4GJPfIVlLDNX1g+W02S2DU=,Grocery,Kroger,1
2014-11-16,qjsFOUo2OyZ63n6EecLgHUnaVJE=,Grocery,Kroger,2
2014-11-16,5vDjUk4g7EwYRd0phJkEVEQnG4M=,Grocery,Kroger,1
2014-11-16,5ZyFROJDS1H4pjUYkthuxOIhqUE=,Grocery,Kroger,3
2014-11-16,WiK6UC0+0bwJPkxkPcMifwQjauY=,Grocery,Kroger,1
2014-11-16,LQzFxT8+ZtXe2kV8sYCBwXBXtr8=,Grocery,Kroger,1
2014-11-16,MpvGTCdaenwHvJTyDToDy0hMfrg=,Grocery,Kroger,1
2014-11-16,g+k3tU//CiHlkW+3UyHYAlQ3AQY=,Grocery,Kroger,1
2014-11-16,cavy1PvFa7N1QZlBFQVUsXaqlcs=,Grocery,Kroger,2
2014-11-16,cMLm2WYpPUqUIUxL5aBFgLjGi88=,Grocery,Kroger,4
2014-11-16,X9N5Plb6p9iR4jWVd+33xtd3vl0=,Grocery,Kroger,3
2014-11-16,tHUm52pCDXhxXV2RZln5Si2cz8k=,Grocery,Kroger,1
2014-11-16,E11Qe4iQwXzjESMMM1KtivxJ4MA=,Grocery,Kroger,1
2014-11-16,eFgv0dTN+e3xaS4dE87kaEzKDxQ=,Grocery,Kroger,1
2014-11-16,zVZGZOlzAWIR52c0vA3OVtqisq8=,Grocery,Kroger,1
2014-11-16,dRHb9w8/hxIH1NQCRhC6PpgTQ7E=,Grocery,Kroger,1
2014-11-16,1TM9k3eIxlHGiHrfsaIeFiZqDE0=,Grocery,Kroger,2
2014-11-16,OEsF0qTxORlA326+B3AuMrw6iko=,Grocery,Kroger,1
2014-11-16,Yh5iDr5fjzysE+v9aQ4cOLUUXH8=,Grocery,Kroger,1
2014-11-16,j9eU5nRzeVzgL7hVio7+BGrKdK0=,Grocery,Kroger,1
2014-11-16,r1rjWZUhZhZ6Mh6QarLyyta4vNQ=,Grocery,Kroger,2
2014-11-16,ua5RwYxwLOyLremOZ6y1+NhZJY4=,Grocery,Kroger,1
2014-11-16,iPRTaG0xkvbLWwTmTVtRF2t4HFg=,Grocery,Kroger,1
2014-11-16,KiVPrJUj9yybArrKWofwLEkA4Bs=,Grocery,Kroger,1
2014-11-16,euqrBb8DaAj+th6WB/n7MDlNOBk=,Grocery,Kroger,4
2014-11-16,Fd/gX719x478kJB3wl7D0xD5Krw=,Grocery,Kroger,1
2014-11-16,8s2f/ArCIb36frhMS9zfuzg+8RY=,Grocery,Kroger,1
2014-11-16,XiNuz88l/MmkhUKGjoy4VX/+dJ4=,Grocery,Kroger,1
2014-11-16,lzxi6pBnX3ezHniKLUjSsZPSb3o=,Grocery,Kroger,3
2014-11-16,D2NjLQ9RpPZaYlSdwREtEGOP5eY=,Grocery,Kroger,1
2014-11-16,7zitMrxjietmbXU+l/M7fZ8SPuA=,Grocery,Kroger,2
2014-11-16,/fwz2sMliqho+S/TelRUWJTjT58=,Grocery,Kroger,3
2014-11-16,k2zUcou0BiK/2GkEF5aOi7eVlK4=,Grocery,Kroger,2
2014-11-16,MTCfWxUSadXFOVg9Bpg5BdUDurA=,Grocery,Kroger,1
2014-11-16,AL4M2yGaKNJZYvzuIrq9UlrOIBE=,Grocery,Kroger,1
